Depth (ft),Sv (psi)
5650.5,6358.781698
5651,6359.332037
5651.5,6359.881645
5652,6360.429902
5652.5,6360.980097
5653,6361.528431
5653.5,6362.078692
5654,6362.632686
5654.5,6363.185794
5655,6363.736841
5655.5,6364.286471
5656,6364.837929
5656.5,6365.396818
5657,6365.954832
5657.5,6366.508681
5658,6367.070151
5658.5,6367.632185
5659,6368.183432
5659.5,6368.731666
5660,6369.284287
5660.5,6369.836597
5661,6370.391598
5661.5,6370.957099
5662,6371.536166
5662.5,6372.117416
5663,6372.694634
5663.5,6373.269747
5664,6373.843454
5664.5,6374.406175
5665,6374.957079
5665.5,6375.520054
5666,6376.079054
5666.5,6376.627499
5667,6377.181382
5667.5,6377.760726
5668,6378.357325
5668.5,6378.941775
5669,6379.521031
5669.5,6380.108671
5670,6380.686055
5670.5,6381.259108
5671,6381.854079
5671.5,6382.454655
5672,6383.044808
5672.5,6383.617563
5673,6384.179863
5673.5,6384.740933
5674,6385.305027
5674.5,6385.86643
5675,6386.424444
5675.5,6386.981483
5676,6387.535754
5676.5,6388.086226
5677,6388.636498
5677.5,6389.187468
5678,6389.739978
5678.5,6390.297183
5679,6390.860048
5679.5,6391.426656
5680,6391.993319
5680.5,6392.577326
5681,6393.185632
5681.5,6393.794868
5682,6394.388244
5682.5,6394.966171
5683,6395.545205
5683.5,6396.1225
5684,6396.692985
5684.5,6397.263502
5685,6397.828405
5685.5,6398.418879
5686,6399.021016
5686.5,6399.577801
5687,6400.113853
5687.5,6400.658034
5688,6401.203312
5688.5,6401.749187
5689,6402.312163
5689.5,6402.896657
5690,6403.47599
5690.5,6404.044536
5691,6404.624501
5691.5,6405.202284
5692,6405.766001
5692.5,6406.31871
5693,6406.862736
5693.5,6407.432678
5694,6408.025622
5694.5,6408.612188
5695,6409.175429
5695.5,6409.719311
5696,6410.25955
5696.5,6410.797861
5697,6411.336283
5697.5,6411.875602
5698,6412.41274
5698.5,6412.949523
5699,6413.491655
5699.5,6414.040499
5700,6414.595301
5700.5,6415.150956
5701,6415.70619
5701.5,6416.258656
5702,6416.807422
5702.5,6417.357506
5703,6417.904722
5703.5,6418.444584
5704,6418.977834
5704.5,6419.505967
5705,6420.033614
5705.5,6420.568614
5706,6421.129285
5706.5,6421.720447
5707,6422.310047
5707.5,6422.87753
5708,6423.440682
5708.5,6424.020326
5709,6424.583046
5709.5,6425.118157
5710,6425.652947
5710.5,6426.186175
5711,6426.717199
5711.5,6427.251047
5712,6427.789491
5712.5,6428.332809
5713,6428.879161
5713.5,6429.425335
5714,6429.973481
5714.5,6430.522425
5715,6431.072653
5715.5,6431.622327
5716,6432.169776
5716.5,6432.711631
5717,6433.253431
5717.5,6433.815598
5718,6434.408975
5718.5,6435.008741
5719,6435.588905
5719.5,6436.153542
5720,6436.738158
5720.5,6437.325343
5721,6437.880234
5721.5,6438.423562
5722,6438.969626
5722.5,6439.527219
5723,6440.092177
5723.5,6440.657988
5724,6441.223489
5724.5,6441.78591
5725,6442.344899
5725.5,6442.896655
5726,6443.438334
5726.5,6443.976567
5727,6444.51911
5727.5,6445.068939
5728,6445.620862
5728.5,6446.174733
5729,6446.749072
5729.5,6447.322336
5730,6447.87417
5730.5,6448.419426
5731,6448.982501
5731.5,6449.572566
5732,6450.169109
5732.5,6450.765886
5733,6451.360647
5733.5,6451.944188
5734,6452.515215
5734.5,6453.079564
5735,6453.637567
5735.5,6454.192912
5736,6454.748002
5736.5,6455.303335
5737,6455.855258
5737.5,6456.402297
5738,6456.948704
5738.5,6457.496208
5739,6458.042238
5739.5,6458.585268
5740,6459.13152
5740.5,6459.684262
5741,6460.239308
5741.5,6460.794332
5742,6461.346908
5742.5,6461.900037
5743,6462.457077
5743.5,6463.016298
5744,6463.581555
5744.5,6464.15586
5745,6464.721228
5745.5,6465.273837
5746,6465.823644
5746.5,6466.371746
5747,6466.921719
5747.5,6467.472767
5748,6468.022574
5748.5,6468.569712
5749,6469.115998
5749.5,6469.664066
5750,6470.211016
5750.5,6470.754555
5751,6471.297817
5751.5,6471.842984
5752,6472.390842
5752.5,6472.953364
5753,6473.526617
5753.5,6474.086192
5754,6474.632876
5754.5,6475.173746
5755,6475.710031
5755.5,6476.24327
5756,6476.774383
5756.5,6477.307633
5757,6477.845258
5757.5,6478.382539
5758,6478.920153
5758.5,6479.459583
5759,6480.000741
5759.5,6480.545331
5760,6481.090908
5760.5,6481.632398
5761,6482.172781
5761.5,6482.712731
5762,6483.250013
5762.5,6483.784847
5763,6484.317886
5763.5,6484.857582
5764,6485.398795
5764.5,6485.935523
5765,6486.476083
5765.5,6487.02136
5766,6487.570968
5766.5,6488.122846
5767,6488.676065
5767.5,6489.233747
5768,6489.792093
5768.5,6490.351845
5769,6490.908851
5769.5,6491.459113
5770,6492.005863
5770.5,6492.54979
5771,6493.093495
5771.5,6493.637676
5772,6494.18209
5772.5,6494.72925
5773,6495.279345
5773.5,6495.841335
5774,6496.417213
5774.5,6496.972702
5775,6497.504047
5775.5,6498.035248
5776,6498.566494
5776.5,6499.10001
5777,6499.651335
5777.5,6500.234278
5778,6500.808151
5778.5,6501.359543
5779,6501.908719
5779.5,6502.451106
5780,6502.990979
5780.5,6503.532978
5781,6504.079097
5781.5,6504.628063
5782,6505.176442
5782.5,6505.719803
5783,6506.259311
5783.5,6506.79708
5784,6507.338747
5784.5,6507.884456
5785,6508.432159
5785.5,6508.983174
5786,6509.529825
5786.5,6510.077085
5787,6510.628365
5787.5,6511.177685
5788,6511.72448
5788.5,6512.266468
5789,6512.807161
5789.5,6513.349437
5790,6513.890185
5790.5,6514.42956
5791,6514.972578
5791.5,6515.519738
5792,6516.065526
5792.5,6516.615023
5793,6517.168418
5793.5,6517.715656
5794,6518.261443
5794.5,6518.808271
5795,6519.354446
5795.5,6519.903766
5796,6520.455268
5796.5,6521.008863
5797,6521.561206
5797.5,6522.109231
5798,6522.658772
5798.5,6523.210839
5799,6523.761034
5799.5,6524.310797
5800,6524.865566
5800.5,6525.420999
5801,6525.969821
5801.5,6526.51975
5802,6527.07371
5802.5,6527.626718
5803,6528.1776
5803.5,6528.724993
5804,6529.273139
5804.5,6529.821883
5805,6530.371158
5805.5,6530.922106
5806,6531.476499
5806.5,6532.034446
5807,6532.591873
5807.5,6533.149887
5808,6533.712907
5808.5,6534.286171
5809,6534.857929
5809.5,6535.418579
5810,6535.979716
5810.5,6536.547265
5811,6537.123686
5811.5,6537.69211
5812,6538.24792
5812.5,6538.807894
5813,6539.368699
5813.5,6539.923855
5814,6540.474792
5814.5,6541.027014
5815,6541.582015
5815.5,6542.139963
5816,6542.700125
5816.5,6543.260565
5817,6543.819764
5817.5,6544.377091
5818,6544.928094
5818.5,6545.47644
